FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
108,0,OAH22,3,08/01/2016,POSP, ,204,OAH22_03_08/01/2016_POSP_0204,0.001398037643440,0.137839693275000, ,245,Fusion,1,0.137836839546000,0.001399405004260
109,0,OAH22,2,08/01/2016,POSP, ,348,OAH22_02_08/01/2016_POSP_0348,0.012104194685900,0.530865291848000, ,227,Fusion,1,0.530770572233000,0.012104744957300
110,0,OAH22,6,08/01/2016,POSP, ,349,OAH22_06_08/01/2016_POSP_0349,0.019210471930300,0.546963684780000, ,233, ,1,0.546941733292000,0.019212955119500
111,0,OAH22,8,08/01/2016,PMEA, ,350,OAH22_08_08/01/2016_PMEA_0350,0.015509596533100,0.488445212450000, ,73, ,1,0.488507249147000,0.015510049928100
112,0,OAH22,1,10/04/2018,PMEA, ,39,OAH22_01_10/04/2018_PMEA_0039,0.012083265202300,0.730573337262000,1,88, ,2,0.730743711051000,0.012082860088500
113,0,OAH22,1,10/04/2018,MPAT, ,40,OAH22_01_10/04/2018_MPAT_0040,0.005124124906260,0.357267457247000,2,91, ,2,0.357280060641000,0.005125929988970
114,0,OAH22,1,10/04/2018,MOSP, ,41,OAH22_01_10/04/2018_MOSP_0041,0.001103634040930,0.168947687713000,-99,82,Recruitment,2,0.168932663794000,0.001104520004950
115,0,OAH22,1,10/04/2018,PLUT, ,42,OAH22_01_10/04/2018_PLUT_0042,0.021180729282000,0.839031617886000,"23,24","95,96",Divided into two colonies in CO model,2,0.839079131958000,0.021181054959900
116,0,OAH22,1,10/04/2018,PLIC, ,43,OAH22_01_10/04/2018_PLIC_0043,0.000641182603062,0.108163403306000,13,80, ,2,0.108060413861000,0.000641399989032
117,0,OAH22,1,10/04/2018,PLIC, ,44,OAH22_01_10/04/2018_PLIC_0044,0.001923582650650,0.196555835811000,13,81, ,2,0.196593227821000,0.001923119963270
